geo_level,geography,year,e_pop_num,e_inc_num,e_inc_100k,c_newinc,c_newinc_100k,c_cdr,coverage_gap_pct,coverage_gap_pct_nonnegative,notification_gap_num,notification_gap_num_nonnegative,notification_gap_pct,e_mort_num,e_mort_100k,case_fatality_pct,e_inc_tbhiv_num,e_inc_tbhiv_100k,e_mort_tbhiv_num,e_mort_tbhiv_100k,hiv_incidence_share_pct,e_inc_rr_num,rr_incidence_share_pct,mortality_excluding_hiv_num
Global,Global,2000,6135618041.0,11564181.0,188.4762206956944,3745586.0,61.04659669117105,32.38954838219845,67.61045161780154,67.61045161780154,7818595.0,7818595.0,67.61045161780156,2942710.0,47.96110156036357,25.4467653178379,1938063.0,31.587086859861458,878414.0,14.316634349305644,16.759189431573233,,,2064275.0
Global,Global,2001,6218663062.0,11690076.0,187.9837496170813,3843490.0,61.80572836444824,32.878229363093965,67.12177063690604,67.12177063690604,7846586.0,7846586.0,67.12177063690604,2839458.0,45.660264460232625,24.289474251493317,1800774.0,28.957574675558135,884626.0,14.225340578518065,15.40429677274981,,,1954813.0
Global,Global,2002,6302139814.0,11817999.0,187.5235927604573,4097810.0,65.02251808023756,34.67431330803125,65.32568669196874,65.32568669196874,7720189.0,7720189.0,65.32568669196876,2727610.0,43.28069640633333,23.080133954995258,1711367.0,27.155332165088648,823291.0,13.063673994840382,14.481021702574184,,,1904297.0
Global,Global,2003,6384667858.0,11960573.0,187.33273626776656,4514242.0,70.70441408073634,37.74269008683781,62.25730991316219,62.25730991316219,7446331.0,7446331.0,62.25730991316218,2643103.0,41.397658559296666,22.0984646805801,1680104.0,26.314665654765843,791580.0,12.398139066986058,14.047019319224924,,,1851496.0
Global,Global,2004,6467598922.0,12007455.0,185.65552912002295,4823710.0,74.58270152763811,40.172626089375306,59.827373910624694,59.827373910624694,7183745.0,7183745.0,59.827373910624694,2528145.0,39.08939052173341,21.054794708787167,1669818.0,25.818205799991627,768115.0,11.876354877034844,13.906510580301987,,,1760001.0
Global,Global,2005,6559285646.0,12051797.0,183.7364257394318,5148430.0,78.49071191372231,42.71918951173838,57.28081048826162,57.28081048826162,6903367.0,6903367.0,57.28081048826162,2520962.0,38.433484011133736,20.917727041037946,1709670.0,26.064881029271767,796486.0,12.142877181842431,14.18601723875701,,,1724452.0
Global,Global,2006,6643645499.0,12029500.0,181.0677586847564,5416204.0,81.52457864910531,45.024348476661544,54.975651523338456,54.975651523338456,6613296.0,6613296.0,54.97565152333846,2470894.0,37.191839937454795,20.540288457541877,1766055.0,26.582619440875135,802387.0,12.077510760030394,14.681034124444075,,,1668485.0
Global,Global,2007,6729368847.0,11953565.0,177.63278060362205,5594219.0,83.13140692969954,46.79958656685265,53.20041343314735,53.20041343314735,6359346.0,6359346.0,53.200413433147354,2384145.0,35.42895409965332,19.945054048729396,1665463.0,24.749170952970946,735303.0,10.926775106521369,13.932772357033238,,,1648808.0
Global,Global,2008,6816400596.0,11870310.0,174.1433742460168,5742609.0,84.24694116965304,48.37791936352126,51.62208063647874,51.62208063647874,6127701.0,6127701.0,51.62208063647874,2330600.0,34.191065609724326,19.63385960434058,1686743.0,24.74536195818383,730514.0,10.717005107192206,14.209763687721718,,,1600066.0
Global,Global,2009,6904600991.0,11813212.0,171.09188518494074,5851936.0,84.7541517261877,49.53721307972802,50.46278692027198,50.46278692027198,5961276.0,5961276.0,50.46278692027199,2260113.0,32.73343387903239,19.132078557465995,1686130.0,24.420382904064034,720600.0,10.43651908255505,14.2732560797182,,,1539484.0
Global,Global,2010,6993671262.0,11668773.0,166.84760496825308,5794510.0,82.85362269577034,49.65826312672292,50.34173687327708,50.34173687327708,5874263.0,5874263.0,50.34173687327708,2108135.0,30.143467158007805,18.066466799894044,1608614.0,23.000995324735637,619387.0,8.856392827118272,13.785631102773188,,,1488722.0
Global,Global,2011,7082782349.0,11609352.0,163.90948398462498,5835643.0,82.3919571780138,50.26674184743472,49.73325815256528,49.73325815256528,5773709.0,5773709.0,49.73325815256528,2064326.0,29.145693009915192,17.781578162157544,1554744.0,21.95103454251295,601498.0,8.492397060385796,13.392168658509105,,,1462804.0
Global,Global,2012,7172947512.0,11462059.0,159.79566253377038,5791712.0,80.74382240091317,50.52942058665026,49.47057941334974,49.47057941334974,5670347.0,5670347.0,49.47057941334973,1967047.0,27.423133888951845,17.16137563067857,1493960.0,20.827700153955902,556037.0,7.7518621050799075,13.033958383916886,,,1410987.0
